ID,Rank,Name,GENDER,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,card
202811,113,Emiliano Martínez,M,85,83,82,82,85,56,85,55,57,12,16,62,16,13,43,22,67,20,61,59,22,24,54,49,81,43,69,21,26,25,20,20,79,40,78,40,GK,4,1,Right,"195cm / 6'5""",88kg / 194lb,,33,Argentina,Premier League,Aston Villa,"['Footwork', 'Rush Out']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/emiliano-martinez/202811,83.0,82.0,82.0,85.0,85.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/202811_en.webp
230869,125,Unai Simón,M,85,84,80,76,85,49,84,48,50,14,14,57,13,17,24,16,48,14,38,34,20,12,37,47,82,16,40,26,18,11,18,12,74,44,76,29,GK,3,1,Right,"190cm / 6'3""",89kg / 196lb,,28,Spain,LALIGA EA SPORTS,Athletic Club,"['Footwork', 'Pinged Pass', 'Rush Out']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/unai-simon/230869,84.0,80.0,76.0,84.0,85.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/230869_en.webp
185122,129,Péter Gulácsi,M,85,83,83,74,84,43,87,42,44,11,10,56,12,10,24,16,44,11,35,31,18,19,41,42,82,25,45,23,23,25,16,20,72,37,74,34,GK,2,1,Right,"193cm / 6'4""",86kg / 190lb,,35,Hungary,Bundesliga,RB Leipzig,['Footwork'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/peter-gulacsi/185122,83.0,83.0,74.0,87.0,84.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/185122_en.webp
193080,133,De Gea,M,85,85,78,71,87,46,84,47,45,9,13,53,12,13,29,17,45,19,40,39,21,18,60,40,85,32,45,21,18,15,20,15,57,30,38,15,GK,2,1,Right,"192cm / 6'4""",76kg / 168lb,,35,Spain,Serie A Enilive,Fiorentina,"['Far Throw', 'Footwork']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/de-gea/193080,85.0,78.0,71.0,84.0,87.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/193080_en.webp
204935,173,Jordan Pickford,M,84,84,78,88,87,53,81,57,47,18,19,66,13,20,48,17,69,16,59,61,18,20,59,55,82,42,65,26,18,21,20,12,75,40,72,45,GK,4,1,Left,"185cm / 6'1""",77kg / 170lb,,31,England,Premier League,Everton,"['Far Throw', 'Footwork', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jordan-pickford/204935,84.0,78.0,88.0,81.0,87.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/204935_en.webp
186153,194,Wojciech Szczęsny,M,84,82,83,75,84,48,84,49,46,14,12,56,14,14,18,12,48,14,51,66,16,11,55,51,80,22,65,15,16,20,13,12,69,45,65,40,GK,3,1,Right,"196cm / 6'5""",90kg / 198lb,,35,Poland,LALIGA EA SPORTS,FC Barcelona,['Far Throw'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wojciech-szczesny/186153,82.0,83.0,75.0,84.0,84.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/186153_en.webp
262621,198,Giorgi Mamardashvili,M,84,84,81,72,84,48,84,48,48,8,9,54,7,7,11,13,34,10,20,20,11,11,40,26,74,22,26,8,14,5,12,10,71,45,74,25,GK,3,1,Left,"199cm / 6'6""",88kg / 194lb,,25,Georgia,Premier League,Liverpool,"['Cross Claimer', 'Far Throw', 'Footwork']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/giorgi-mamardashvili/262621,84.0,81.0,72.0,84.0,84.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/262621_en.webp
167495,203,Manuel Neuer,M,84,81,81,90,81,31,86,29,35,12,13,68,16,11,49,15,68,11,60,67,14,30,51,35,83,44,67,30,25,17,10,11,71,43,80,29,GK,4,1,Right,"193cm / 6'4""",93kg / 205lb,,39,Germany,Bundesliga,FC Bayern München,"['Pinged Pass+', 'Far Throw', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/manuel-neuer/167495,81.0,81.0,90.0,86.0,81.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/167495_en.webp
234577,211,Diogo Costa,M,84,83,78,82,86,35,83,33,39,18,6,62,9,8,14,13,67,10,50,55,10,18,42,35,83,30,44,18,11,19,13,11,61,28,63,23,GK,2,1,Right,"187cm / 6'2""",84kg / 185lb,,26,Portugal,Liga Portugal,FC Porto,"['Far Throw', 'Long Ball Pass', 'Rush Out']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/diogo-costa/234577,83.0,78.0,82.0,83.0,86.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/234577_en.webp
252154,215,Marco Carnesecchi,M,84,86,83,71,86,30,85,24,39,9,8,53,10,7,17,11,54,12,36,31,18,14,40,25,71,21,40,13,20,16,17,14,58,28,55,27,GK,3,1,Right,"191cm / 6'3""",83kg / 183lb,,25,Italy,Serie A Enilive,Bergamo Calcio,['Rush Out'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marco-carnesecchi/252154,86.0,83.0,71.0,85.0,86.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/252154_en.webp
259532,254,Joan García,M,83,81,82,77,86,46,83,48,44,6,6,58,9,7,18,13,54,12,48,49,12,17,59,42,77,28,59,13,12,7,13,14,64,35,59,30,GK,3,1,Right,"191cm / 6'3""",79kg / 174lb,,24,Spain,LALIGA EA SPORTS,FC Barcelona,['Cross Claimer'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joan-garcia/259532,81.0,82.0,77.0,83.0,86.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/259532_en.webp
227127,256,Álex Remiro,M,83,83,78,80,84,45,84,44,46,11,13,60,11,15,24,12,44,17,36,29,14,19,70,40,78,26,55,20,13,14,17,18,69,42,73,34,GK,4,1,Right,"191cm / 6'3""",79kg / 174lb,,30,Spain,LALIGA EA SPORTS,Real Sociedad,"['Far Throw', 'Footwork', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alex-remiro/227127,83.0,78.0,80.0,84.0,84.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/227127_en.webp
251752,262,Lucas Chevalier,M,83,84,79,73,86,50,80,52,46,7,9,55,8,9,16,12,47,14,38,34,15,14,38,38,80,17,45,10,12,10,10,11,63,41,53,23,GK,3,1,Right,"189cm / 6'2""",84kg / 185lb,,24,France,Ligue 1 McDonald's,Paris SG,"['Footwork', 'Rush Out']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lucas-chevalier/251752,84.0,79.0,73.0,80.0,86.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/251752_en.webp
193698,275,Oliver Baumann,M,83,83,81,78,83,39,80,37,41,10,11,59,13,11,22,14,44,11,34,30,12,19,45,43,82,17,52,21,16,15,18,14,66,39,69,32,GK,2,1,Right,"187cm / 6'2""",82kg / 181lb,,35,Germany,Bundesliga,TSG Hoffenheim,"['Deflector', 'Footwork']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/oliver-baumann/193698,83.0,81.0,78.0,80.0,83.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/193698_en.webp
199641,278,Matz Sels,M,83,82,80,79,83,36,83,37,35,18,16,59,18,19,22,16,58,17,48,53,17,19,36,34,80,33,62,17,14,14,15,14,65,26,67,29,GK,2,1,Right,"188cm / 6'2""",75kg / 165lb,,33,Belgium,Premier League,Nott'm Forest,['Far Reach'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matz-sels/199641,82.0,80.0,79.0,83.0,83.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/199641_en.webp
230872,334,Mile Svilar,M,82,80,80,77,85,58,82,60,55,9,14,58,18,16,37,18,53,22,42,42,23,26,66,54,79,28,48,13,22,12,24,19,72,32,61,28,GK,3,1,Right,"189cm / 6'2""",77kg / 170lb,,26,Serbia,Serie A Enilive,AS Roma,"['Cross Claimer', 'Rush Out']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mile-svilar/230872,80.0,80.0,77.0,82.0,85.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/230872_en.webp
215316,346,Gerónimo Rulli,M,82,82,77,80,83,54,81,56,52,12,15,60,17,16,24,12,68,20,36,50,19,14,58,50,79,15,61,21,12,15,13,17,73,42,73,26,GK,3,1,Right,"189cm / 6'2""",84kg / 185lb,,33,Argentina,Ligue 1 McDonald's,OM,['Footwork'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/geronimo-rulli/215316,82.0,77.0,80.0,81.0,83.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/215316_en.webp
240091,349,Guglielmo Vicario,M,82,83,78,78,84,52,80,54,49,13,6,59,5,7,13,11,68,10,57,55,14,22,56,38,81,41,62,15,11,23,11,13,67,38,60,29,GK,4,1,Right,"194cm / 6'4""",76kg / 168lb,,29,Italy,Premier League,Spurs,['Footwork'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/guglielmo-vicario/240091,83.0,78.0,78.0,80.0,84.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/240091_en.webp
224987,353,Ivan Provedel,M,82,83,79,80,84,42,83,44,40,16,17,60,20,14,22,21,63,13,61,56,13,16,38,44,75,22,68,22,23,22,23,22,65,28,56,27,GK,2,1,Right,"192cm / 6'4""",84kg / 185lb,,31,Italy,Serie A Enilive,Latium,"['Deflector', 'Footwork', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ivan-provedel/224987,83.0,79.0,80.0,83.0,84.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/224987_en.webp
192984,361,Koen Casteels,M,82,82,79,74,85,45,83,44,46,15,15,56,18,13,20,15,42,13,35,37,20,14,50,43,79,23,40,16,14,11,19,17,69,44,72,33,GK,2,1,Left,"197cm / 6'6""",86kg / 190lb,,33,Belgium,ROSHN Saudi League,Al Qadsiah,"['Footwork', 'Long Ball Pass', 'Rush Out']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/koen-casteels/192984,82.0,79.0,74.0,83.0,85.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/192984_en.webp
225116,365,Alex Meret,M,82,81,79,74,85,44,84,41,48,20,17,56,17,20,21,15,40,21,30,25,20,16,46,48,78,25,67,22,19,10,22,14,66,29,65,22,GK,3,1,Left,"192cm / 6'4""",82kg / 181lb,,28,Italy,Serie A Enilive,SSC Napoli,[],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alex-meret/225116,81.0,79.0,74.0,84.0,85.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/225116_en.webp
209981,371,Yassine Bounou,M,82,81,82,76,85,38,82,38,37,10,14,57,19,13,24,15,62,19,39,44,12,20,47,29,76,12,57,12,14,20,18,15,65,43,69,25,GK,2,1,Left,"195cm / 6'5""",78kg / 172lb,,34,Morocco,ROSHN Saudi League,Al Hilal,"['Cross Claimer', 'Far Throw', 'Footwork']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yassine-bounou/209981,81.0,82.0,76.0,82.0,85.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/209981_en.webp
235840,461,Michele Di Gregorio,M,81,82,78,79,85,56,83,55,57,9,9,59,18,11,17,13,65,14,50,50,17,30,55,55,69,35,56,15,11,21,16,12,69,36,68,26,GK,3,1,Right,"187cm / 6'2""",82kg / 181lb,,28,Italy,Serie A Enilive,Juventus,['Footwork'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/michele-di-gregorio/235840,82.0,78.0,79.0,83.0,85.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/235840_en.webp
233306,479,Dean Henderson,M,81,82,78,77,82,55,80,55,56,8,9,58,6,5,16,14,55,10,45,48,13,13,61,56,81,35,60,11,13,15,14,14,69,32,64,35,GK,3,1,Right,"188cm / 6'2""",85kg / 187lb,,28,England,Premier League,Crystal Palace,['Footwork'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dean-henderson/233306,82.0,78.0,77.0,80.0,82.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/233306_en.webp
223885,487,Alexander Nübel,M,81,81,76,84,82,48,78,49,46,10,18,63,18,13,16,15,65,20,55,48,20,26,34,58,81,41,69,20,13,23,14,13,71,39,74,23,GK,4,1,Right,"193cm / 6'4""",86kg / 190lb,,29,Germany,Bundesliga,VfB Stuttgart,"['Deflector', 'Footwork']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexander-nubel/223885,81.0,76.0,84.0,78.0,82.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/223885_en.webp
188943,504,Kevin Trapp,M,81,82,80,74,84,46,76,43,50,12,13,56,13,12,17,13,48,12,25,14,14,10,42,37,82,24,65,22,11,15,14,10,68,45,75,30,GK,4,1,Right,"189cm / 6'2""",84kg / 185lb,,35,Germany,Ligue 1 McDonald's,Paris FC,"['Far Throw', 'Footwork']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kevin-trapp/188943,82.0,80.0,74.0,76.0,84.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/188943_en.webp
203841,513,Nick Pope,M,81,81,81,68,82,49,78,50,47,13,14,51,15,14,22,11,50,12,42,52,13,15,36,42,78,25,63,23,11,19,15,14,71,35,75,36,GK,3,1,Right,"199cm / 6'6""",90kg / 198lb,,33,England,Premier League,Newcastle Utd,['Footwork'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nick-pope/203841,81.0,81.0,68.0,78.0,82.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/203841_en.webp
223952,516,David Soria,M,81,81,79,74,82,41,80,46,34,12,19,56,18,19,23,15,51,11,30,33,23,16,48,40,79,20,61,21,23,22,13,13,74,43,76,26,GK,3,1,Right,"192cm / 6'4""",85kg / 187lb,,32,Spain,LALIGA EA SPORTS,Getafe CF,"['Footwork', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/david-soria/223952,81.0,79.0,74.0,80.0,82.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/223952_en.webp
243952,521,Andriy Lunin,M,81,80,78,79,82,37,80,39,35,11,8,59,7,12,19,15,60,15,25,26,14,11,36,25,80,15,56,19,12,22,13,11,62,32,61,22,GK,3,1,Right,"191cm / 6'3""",78kg / 172lb,,26,Ukraine,LALIGA EA SPORTS,Real Madrid,['Footwork'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andriy-lunin/243952,80.0,78.0,79.0,80.0,82.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/243952_en.webp
230670,525,Lucas Perri,M,81,80,79,79,82,35,80,32,39,12,11,59,13,15,19,19,65,20,45,48,22,18,37,27,77,14,44,25,13,10,18,14,69,38,83,35,GK,2,1,Right,"197cm / 6'6""",98kg / 216lb,,27,Brazil,Premier League,Leeds United,['Far Throw'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lucas-perri/230670,80.0,79.0,79.0,80.0,82.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/230670_en.webp
210385,531,Rui Silva,M,81,82,78,77,84,31,81,31,30,20,20,58,14,20,30,13,55,20,29,30,19,18,34,24,73,24,49,27,14,25,10,19,67,27,76,19,GK,3,1,Left,"191cm / 6'3""",91kg / 201lb,,31,Portugal,Liga Portugal,Sporting CP,"['Deflector', 'Footwork']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rui-silva/210385,82.0,78.0,77.0,81.0,84.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/210385_en.webp
190941,539,Lukáš Hrádecký,M,81,83,79,64,83,40,81,38,44,9,11,48,14,9,20,11,53,15,30,33,11,10,43,39,80,20,45,18,11,10,10,13,59,34,55,31,GK,3,1,Right,"192cm / 6'4""",85kg / 187lb,,36,Finland,Ligue 1 McDonald's,AS Monaco,['Footwork'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lukas-hradecky/190941,83.0,79.0,64.0,81.0,83.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/190941_en.webp
210676,545,Wladimiro Falcone,M,81,83,81,75,84,27,76,26,28,5,19,56,20,13,29,17,45,12,25,26,16,13,33,34,73,20,44,8,13,6,13,18,59,28,62,15,GK,2,1,Right,"196cm / 6'5""",85kg / 187lb,,30,Italy,Serie A Enilive,Lecce,"['Footwork', 'Rush Out']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wladimiro-falcone/210676,83.0,81.0,75.0,76.0,84.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/210676_en.webp
226753,583,André Onana,M,80,81,75,85,83,61,77,62,60,11,12,64,17,13,27,15,68,17,57,58,30,26,66,53,76,40,65,15,20,12,18,14,79,40,78,38,GK,3,1,Right,"190cm / 6'3""",93kg / 205lb,,29,Cameroon,Premier League,Man Utd,['Rush Out'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andre-onana/226753,81.0,75.0,85.0,77.0,83.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/226753_en.webp
204883,605,Brice Samba,M,80,78,80,80,80,53,80,49,60,11,9,60,10,13,15,10,48,13,48,45,14,14,39,54,78,36,66,18,15,12,14,12,73,37,78,26,GK,3,1,Left,"187cm / 6'2""",90kg / 198lb,,31,France,Ligue 1 McDonald's,Stade Rennais FC,"['Footwork', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/brice-samba/204883,78.0,80.0,80.0,80.0,80.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/204883_en.webp
192563,609,Bernd Leno,M,80,80,79,76,81,53,80,54,51,7,9,57,14,10,23,9,53,8,50,48,9,16,51,44,77,35,63,25,13,27,15,18,70,44,70,28,GK,3,1,Right,"189cm / 6'2""",83kg / 183lb,,33,Germany,Premier League,Fulham,"['Footwork', 'Rush Out']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bernd-leno/192563,80.0,79.0,76.0,80.0,81.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/192563_en.webp
241671,617,Dominik Livaković,M,80,80,76,71,83,56,80,57,54,11,12,53,9,10,15,13,60,11,50,60,12,19,65,30,81,28,64,21,13,24,20,21,74,32,75,26,GK,2,1,Right,"188cm / 6'2""",79kg / 174lb,,30,Croatia,LALIGA EA SPORTS,Girona FC,"['Far Throw', 'Footwork']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dominik-livakovic/241671,80.0,76.0,71.0,80.0,83.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/241671_en.webp
226300,621,Uğurcan Çakır,M,80,81,76,74,79,54,80,53,56,14,13,56,19,20,23,15,60,20,32,27,18,17,64,58,77,27,60,25,14,17,18,16,70,40,69,34,GK,3,1,Right,"191cm / 6'3""",82kg / 181lb,,29,Turkey,Trendyol Süper Lig,Galatasaray,"['Far Throw', 'Footwork', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ugurcan-cak-r/226300,81.0,76.0,74.0,80.0,79.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/226300_en.webp
250753,630,Anatoliy Trubin,M,80,77,76,77,84,45,83,49,38,6,9,58,8,6,18,11,64,13,37,32,13,13,36,45,76,29,50,9,12,9,11,11,68,33,69,28,GK,2,1,Right,"199cm / 6'6""",86kg / 190lb,,24,Ukraine,Liga Portugal,SL Benfica,['Footwork'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/anatoliy-trubin/250753,77.0,76.0,77.0,83.0,84.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/250753_en.webp
201269,645,Frederik Rønnow,M,80,80,80,69,82,47,78,48,45,14,9,52,13,7,17,14,48,7,25,30,16,13,34,40,76,12,31,12,12,15,11,13,67,32,67,17,GK,2,1,Right,"188cm / 6'2""",81kg / 179lb,,33,Denmark,Bundesliga,Union Berlin,['Cross Claimer'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/frederik-r-nnow/201269,80.0,80.0,69.0,78.0,82.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/201269_en.webp
73562,649,Bento,M,80,79,76,77,83,39,81,39,40,6,5,58,9,9,15,11,69,13,17,23,14,9,34,34,77,16,30,9,13,5,13,10,61,19,58,22,GK,2,1,Right,"190cm / 6'3""",80kg / 176lb,,26,Brazil,ROSHN Saudi League,Al Nassr,['Deflector'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bento/73562,79.0,76.0,77.0,81.0,83.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/73562_en.webp
269626,663,Đorđe Petrović,M,80,80,78,73,82,41,78,40,43,11,11,55,11,11,13,11,50,12,47,50,12,20,45,34,79,45,62,15,13,20,15,17,67,37,73,27,GK,2,1,Right,"194cm / 6'4""",89kg / 196lb,,26,Serbia,Premier League,AFC Bournemouth,['Footwork'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/or-e-petrovic/269626,80.0,78.0,73.0,78.0,82.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/269626_en.webp
